section,group,seq,name,unit,qty,model,alias,price,total
十七、4F无纸化智慧会议室（127.22㎡）,信号管理综合运维管理系统,8,联网扩展模块（12口）,个,1,八串口服务器,EMeta-RS6608,1520,1520
十七、4F无纸化智慧会议室（127.22㎡）,信号管理综合运维管理系统,9,网络电源控制器,台,1,8路网络继电器,EMeta-REL08-1U,998,998
十七、4F无纸化智慧会议室（127.22㎡）,信号管理综合运维管理系统,10,智能电源监测管理器,台,3,21路智能时序电源,EMeta-PNC218,2040,6120
十七、4F无纸化智慧会议室（127.22㎡）,信号管理综合运维管理系统,11,平板,台,1,,,,0
十七、4F无纸化智慧会议室（127.22㎡）,信号管理综合运维管理系统,12,路由器,台,1,,,,0
十七、4F无纸化智慧会议室（127.22㎡）,信号管理综合运维管理系统,15,机柜,台,1,,,,0
十八、4F会议室（三）（88.56㎡）,,9,电源时序器,台,1,EC-PNC809,8路网络时序电源,903,903
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,1,高清混合管理矩阵,台,1,智能插卡中控主机,EMeta-WL5000,5060,5060
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,2,4路 无缝 HDMI信号输入卡,块,3,插卡中控-4路输入4路输出卡,EMeta-WL5000-RH,820,2460
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,3,4路 无缝 HDMI信号输出卡,块,3,插卡中控-4路输入4路输出卡,EMeta-WL5000-RH,820,2460
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,4,综合运维控制平台,台,1,插卡中控-核心板,EMeta-WL5000-CORE,1620,1620
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,5,系统监测模块,套,1,,定制,5000,5000
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,6,日志及查询模块,套,1,,定制,5000,5000
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,7,资产管理模块,套,1,,定制,5000,5000
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,8,联网扩展模块（12口）,个,1,八串口服务器,EMeta-RS6608,1520,1520
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,9,红外存储网络模块,台,2,网络八路红外扩展器,EMeta-IR-8RJ45,610,1220
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,10,网络电源控制器,台,1,8路网络继电器,EMeta-REL08-1U,998,998
十九、4F中型学术报告厅（690㎡）,信号管理综合运维管理系统,11,智能电源监测管理器,台,4,21路智能时序电源,EMeta-PNC218,2040,8160
